Дата	Время	Вид ДТП	Место	Улица	Дом	Дорога	Километр	Метр	Долгота	Долгота, градусы	Долгота, минуты	Долгота, секунды	Широта	Широта, градусы	Широта, минуты	Широта, секунды	Погибло	Погибло детей	Ранено	Ранено детей
01.04.2015	11:30	Наезд на стоящее ТС	Республика Марий Эл, Медведевский район, Кузнецовский, с Кузнецово	Юбилейная ул	2				48.034	48	2	2	56.6959	56	41	45	0	0	0	0
01.04.2015	11:10	Столкновение	Республика Марий Эл, Йошкар-Ола	Чапаева ул	73				47.9094	47	54	33	56.645	56	38	42	0	0	0	0
01.04.2015	11:00	Столкновение	Республика Марий Эл, Йошкар-Ола	Комсомольская ул	123				47.8569	47	51	24	56.64	56	38	24	0	0	0	0
01.04.2015	10:50	Наезд на стоящее ТС	Республика Марий Эл, Волжск	Крайняя ул	1				48.3742	48	22	27	55.8831	55	52	59	0	0	0	0
01.04.2015	9:50	Столкновение	Республика Марий Эл, Йошкар-Ола	Машиностроителей ул.	63				47.8558	47	51	20	56.54	56	32	24	0	0	0	0
01.04.2015	9:40	Съезд с дороги	Республика Марий Эл, Звениговский район			от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара	27	0	48.3858	48	23	8	56.035	56	2	6	0	0	0	0
01.04.2015	8:45	Столкновение	Республика Марий Эл, Йошкар-Ола	Кирова ул	15				47.8611	47	51	39	56.6583	56	39	29	0	0	0	0
01.04.2015	8:00	Наезд на препятствие	Республика Марий Эл, Советский район, Солнечный, п Солнечный	Солнечная ул	20				48.4058	48	24	20	56.5456	56	32	44	0	0	0	0
01.04.2015	7:48	Наезд на пешехода	Республика Марий Эл, Йошкар-Ола	Советская ул	132				47.8964	47	53	47	56.6419	56	38	30	0	0	1	0
01.04.2015	7:42	Столкновение	Республика Марий Эл, Йошкар-Ола	Логинова ул	1				47.8375	47	50	15	56.5792	56	34	45	0	0	0	0
01.04.2015	7:40	Столкновение	Республика Марий Эл, Йошкар-Ола	Прохорова ул	28				47.8578	47	51	28	56.64	56	38	24	0	0	0	0
01.04.2015	7:40	Наезд на препятствие	Республика Марий Эл, Медведевский район, Медведево	Некрасова ул	11				47.8239	47	49	26	56.6336	56	38	0	0	0	0	0
01.05.2015	23:09	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Дружбы ул	98				47.8722	47	52	19	56.6539	56	39	14	0	0	1	0
01.05.2015	23:00	Наезд на пешехода	Республика Марий Эл, Медведевский район			от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара	102	100	47.553	47	33	10	56.4321	56	25	55	0	0	1	0
01.05.2015	21:00	Столкновение	Республика Марий Эл, Советский район			Йошкар-Ола - Уржум	40	0	48.3944	48	23	39	56.7464	56	44	47	0	0	0	0
01.05.2015	20:50	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Комсомольская ул	110				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.05.2015	20:30	Наезд на стоящее ТС	Республика Марий Эл, Волжск	Волгарь сад					48.3406	48	20	26	55.8647	55	51	52	0	0	0	0
01.05.2015	20:15	Столкновение	Республика Марий Эл, Горномарийский район			Козьмодемьянск - Большой Сундырь	28	0	46.6833	46	40	59	56.1333	56	7	59	0	0	0	0
01.05.2015	19:50	Наезд на препятствие	Республика Марий Эл, Звениговский район, Суслонгер	Лесная 1-я ул	92				48.0339	48	2	2	56.3561	56	21	21	0	0	0	0
01.05.2015	18:09	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Панфилова пер	24				47.8867	47	53	12	56.64	56	38	24	0	0	0	0
01.05.2015	18:03	Столкновение	Республика Марий Эл, Оршанский район, Табашинский, с Табашино	Центральная ул	2				47.8131	47	48	47	56.9761	56	58	33	0	0	0	0
01.05.2015	16:50	Наезд на препятствие	Республика Марий Эл, Медведевский район, Знаменский, п Знаменский	Заречная ул	32				47.9792	47	58	45	56.6443	56	38	39	0	0	0	0
01.05.2015	16:35	Столкновение	Республика Марий Эл, Оршанский район			от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара	117	0	47.9242	47	55	27	56.8406	56	50	26	0	0	0	0
01.05.2015	16:28	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Набережная ул	2				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.05.2015	15:10	Столкновение	Республика Марий Эл, Медведевский район			от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара	110	0	47.939	47	56	20	56.7948	56	47	41	0	0	0	0
01.05.2015	14:56	Столкновение	Республика Марий Эл, Йошкар-Ола	Зеленая ул	1 а				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.05.2015	14:50	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Маркса ул	140				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.05.2015	14:10	Наезд на препятствие	Республика Марий Эл, Звениговский район, Звенигово	Охотина ул	10				48.3506	48	21	2	56.0225	56	1	21	0	0	0	0
01.05.2015	13:15	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Красноармейская ул	112				47.8578	47	51	28	56.64	56	38	24	0	0	0	0
01.05.2015	12:05	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Машиностроителей ул.	8 Д				47.8572	47	51	25	56.5733	56	34	23	0	0	0	0
01.05.2015	11:50	Наезд на препятствие	Республика Марий Эл, Советский район, Советский	Пушкина ул	16				48.2848	48	17	5	56.4519	56	27	6	0	0	0	0
01.05.2015	11:09	Столкновение	Республика Марий Эл, Йошкар-Ола	Маркса ул	109				47.8867	47	53	12	56.64	56	38	24	0	0	0	0
01.05.2015	11:05	Наезд на стоящее ТС	Республика Марий Эл, Сернурский район, Сернур	Коммунистическая ул	91				49.1467	49	8	48	56.9342	56	56	3	0	0	0	0
01.05.2015	10:50	Наезд на пешехода	Республика Марий Эл, Йошкар-Ола	Мира ул	2б				47.9569	47	57	24	56.6294	56	37	45	0	0	1	0
01.05.2015	10:48	Столкновение	Республика Марий Эл, Йошкар-Ола	Первомайская ул	180				47.8572	47	51	25	56.64	56	38	24	0	0	0	0
01.05.2015	10:20	Наезд на стоящее ТС	Республика Марий Эл, Волжск	Ленина ул	56				48.3594	48	21	33	55.8661	55	51	57	0	0	0	0
01.05.2015	8:20	Наезд на стоящее ТС	Республика Марий Эл, Волжский район, Помарский, с Помары	Станционная ул	6				48.6044	48	36	15	55.1519	55	9	6	0	0	0	0
01.05.2015	7:30	Столкновение	Республика Марий Эл, Волжский район, Приволжский	Юбилейная ул	2				48.6903	48	41	25	55.1519	55	9	6	0	0	0	0
01.05.2015	0:30	Столкновение	Республика Марий Эл, Горномарийский район, Картуковский, с Картуково		19				46.5167	46	31	0	56.2	56	12	0	0	0	0	0
01.05.2015	0:20	Наезд на стоящее ТС	Республика Марий Эл, Советский район						48.1528	48	9	10	56.4857	56	29	8	0	0	0	0
01.06.2015	22:55	Наезд на препятствие	Республика Марий Эл, Йошкар-Ола	Дружбы ул	2				47.8572	47	51	25	56.6567	56	39	24	0	0	0	0
